ReferenceID,Block,Lot,BuildingAddress,NoticeDate,Neighborhood,PoliceDistrict,CouncilDistrict,Location
2730 017 011516,2730,017,4007 DORCHESTER ROAD,01/15/2016,DORCHESTER,NORTHWESTERN,6,"(39.32924115, -76.68558982)"
2444 041 011516,2444,041,1207 N LONGWOOD ST,01/15/2016,WINCHESTER,SOUTHWESTERN,9,"(39.30188346, -76.66710729)"
1555 056 011516,1555,056,2418 E CHASE ST,01/15/2016,BIDDLE STREET,EASTERN,13,"(39.30385022, -76.58344607)"
1138 034 011516,1138,034,1631 E OLIVER ST,01/15/2016,OLIVER,EASTERN,12,"(39.30725924, -76.59548253)"
0179 010 011516,0179,010,1719 W LEXINGTON ST,01/15/2016,FRANKLIN SQUARE,WESTERN,9,"(39.29042056, -76.64467548)"
0015 010 011516,0015,010,1619 N FULTON AVE,01/15/2016,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30713478, -76.64594791)"
5902 038 011916,5902,038,3209 LAKE AVE,01/19/2016,Belair-Edison,Notheastern,13,"(39.32152078, -76.57029293)"
5898 006 011916,5898,006,4101 HARRIS AVE,01/19/2016,Belair-Parkside,Notheastern,3,"(39.32918431, -76.56693153)"
5695F076 011916,5695F,076,4126 MARY AVE,01/19/2016,Glenham-Belhar,Notheastern,2,"(39.34502782, -76.542837)"
4178E060 011916,4178E,060,3206 ELMLEY AVE,01/19/2016,Belair-Edison,Notheastern,13,"(39.31718489, -76.57800785)"
1539 040 011916,1539,040,1231 N LUZERNE AVE,01/19/2016,BEREA,EASTERN,13,"(39.30562035, -76.58105262)"
4605A003A 012016,4605A,003A,4975 EDGEMERE AVE,01/20/2016,CENTRAL PARK HEIGHTS,NORTHWESTERN,6,"(39.34574205, -76.67536727)"
3165 037 012016,3165,037,2922 VIOLET AVE,01/20/2016,PARK CIRCLE,NORTHWESTERN,6,"(39.32943488, -76.66317151)"
1570 084 012016,1570,084,2231 PRENTISS PL,01/20/2016,MIDDLE EAST,EASTERN,13,"(39.30283922, -76.58611298)"
1483 011 012016,1483,011,2232 E OLIVER ST,01/20/2016,BROADWAY EAST,EASTERN,13,"(39.30801193, -76.58628007)"
1142B039 012016,1142B,039,1308 HOMEWOOD AVE,01/20/2016,JOHNSTON SQUARE,EASTERN,12,"(39.3054514, -76.60687275)"
0266B007 012016,0266B,007,1212 GLYNDON AVE,01/20/2016,WASHINGTON VILLAGE/PIGTOWN,SOUTHERN,10,"(39.28271949, -76.63586615)"
1659 047 012116,1659,047,2812 JEFFERSON ST,01/21/2016,MCELDERRY PARK,SOUTHEASTERN,13,"(39.29710652, -76.57708275)"
1113 034 012116,1113,034,1607 HOLBROOK ST,01/21/2016,OLIVER,EASTERN,12,"(39.30858211, -76.60297399)"
4114A055 012216,4114A,055,1715 MONTPELIER ST,01/22/2016,Coldstream Homestead Montebello,Notheastern,14,"(39.3196266, -76.59533708)"
3941 004 012216,3941,004,1907 E 31ST ST,01/22/2016,Coldstream Homestead Montebello,Notheastern,14,"(39.3260666, -76.5889141)"
3190 024 012216,3190,024,2903 RIDGEWOOD AVE,01/22/2016,TOWANDA-GRANTLEY,NORTHWESTERN,6,"(39.3389464, -76.67080491)"
2307 012 012216,2307,012,2339 W NORTH AVE,01/22/2016,COPPIN HEIGHTS/ASH-CO-EAST,WESTERN,7,"(39.30925143, -76.65521142)"
2140 064 012216,2140,064,2618 LEHMAN ST,01/22/2016,MILLHILL,SOUTHWESTERN,9,"(39.28112834, -76.65750927)"
0855 008 012216,0855,008,622 ARCHER ST,01/22/2016,WASHINGTON VILLAGE/PIGTOWN,SOUTHERN,10,"(39.28160587, -76.63017981)"
0348 027 012616,0348,027,1633 DIVISION ST,01/26/2016,UPTON,CENTRAL,11,"(39.30430087, -76.63311536)"
0148 057 012616,0148,057,1837 W MULBERRY ST,01/26/2016,FRANKLIN SQUARE,WESTERN,9,"(39.29274114, -76.64674469)"
0163 014 012616,0163,014,1826 W LEXINGTON ST,01/26/2016,FRANKLIN SQUARE,WESTERN,9,"(39.29079704, -76.64654297)"
2535 007 012716,2535,007,300 S AUGUSTA AVE,01/27/2016,IRVINGTON,SOUTHWESTERN,8,"(39.28119106, -76.6848733)"
0057 005 012716,0057,005,1008 N PAYSON ST,01/27/2016,BRIDGEVIEW/GREENLAWN,WESTERN,9,"(39.30001217, -76.64959315)"
0001 015 012816,0001,015,2017 W NORTH AVE,01/28/2016,EASTERWOOD,WESTERN,7,"(39.30943944, -76.65044524)"
6288 018 012916,6288,018,3434 MOUNT PLEASANT AVE,01/29/2016,BALTIMORE HIGHLANDS,SOUTHEASTERN,1,"(39.29100319, -76.56831127)"
2344 002 012916,2344,002,2200 W LAFAYETTE AVE,01/29/2016,BRIDGEVIEW/GREENLAWN,WESTERN,9,"(39.29889247, -76.65257344)"
0209 003 012916,0209,003,1707 W BALTIMORE ST,01/29/2016,FRANKLIN SQUARE,WESTERN,9,"(39.28809997, -76.64432508)"
0189 009 012916,0189,009,17 N BENTALOU ST,01/29/2016,PENROSE/FAYETTE STREET OUTREACH,WESTERN,9,"(39.28854486, -76.65264663)"
8102K018 020116,8102K,018,4535 PEN LUCY ROAD,02/01/2016,UPLANDS,SOUTHWESTERN,8,"(39.2867313, -76.69273931)"
4114A029 020216,4114A,029,2617 AISQUITH ST,02/02/2016,Coldstream Homestead Montebello,Notheastern,14,"(39.31901859, -76.59626527)"
4005 008 020216,4005,008,1128 E NORTH AVE,02/02/2016,EAST BALTIMORE MIDWAY,EASTERN,12,"(39.31198369, -76.60368438)"
4602 004 020316,4602,004,4835 REISTERSTOWN ROAD,02/03/2016,CENTRAL PARK HEIGHTS,NORTHWESTERN,6,"(39.34214031, -76.67690266)"
4575 003 020316,4575,003,5105 CORDELIA AVE,02/03/2016,LANGSTON HUGHES,NORTHWESTERN,6,"(39.34493072, -76.68034033)"
4574 001 020316,4574,001,3818 W GARRISON AVE,02/03/2016,LANGSTON HUGHES,NORTHWESTERN,6,"(39.34359427, -76.68021564)"
2804A014 020316,2804A,014,2126 MOUNT HOLLY ST,02/03/2016,MOUNT HOLLY,SOUTHWESTERN,7,"(39.31176398, -76.68228567)"
2306A016 020416,2306A,016,1740 MORELAND AVE,02/04/2016,COPPIN HEIGHTS/ASH-CO-EAST,WESTERN,7,"(39.30827302, -76.6561263)"
2243B041 020516,2243B,041,148 PALORMO AVE,02/05/2016,SAINT JOSEPHS,SOUTHWESTERN,8,"(39.28339066, -76.67542964)"
1114 008 020516,1114,008,1214 E FEDERAL ST,02/05/2016,OLIVER,EASTERN,12,"(39.30845346, -76.60167444)"
0294 046 020516,0294,046,1723 N CAREY ST,02/05/2016,PENN NORTH,WESTERN,7,"(39.3092844, -76.64298234)"
0006 028B 020516,0006,028B,2019 WESTWOOD AVE,02/05/2016,EASTERWOOD,WESTERN,7,"(39.30848696, -76.65074568)"
2743A022 020816,2743A,022,4029 NORFOLK AVE,02/08/2016,CONCERNED CITIZENS OF FOREST PARK,NORTHWESTERN,6,"(39.32349452, -76.68636485)"
1099A053 020816,1099A,053,1821 AISQUITH ST,02/08/2016,OLIVER,EASTERN,12,"(39.31101517, -76.6023451)"
1622 025 020816,1622,025,2215 E MADISON ST,02/08/2016,MIDDLE EAST,EASTERN,13,"(39.29955984, -76.58622305)"
2442C008 020916,2442C,008,3015 BELMONT AVE,02/09/2016,ROSEMONT,SOUTHWESTERN,9,"(39.30316472, -76.66781513)"
1114 020 020916,1114,020,1613 AISQUITH ST,02/09/2016,OLIVER,EASTERN,12,"(39.30857673, -76.60219181)"
1108 027 021016,1108,027,1511 E LAFAYETTE AVE,02/10/2016,OLIVER,EASTERN,12,"(39.3103579, -76.59753108)"
4606 017 021116,4606,017,3332 1/2 WOODLAND AVE,02/11/2016,CENTRAL PARK HEIGHTS,NORTHWESTERN,6,"(39.34343632, -76.67320505)"
4606 016 021116,4606,016,3332 WOODLAND AVE,02/11/2016,CENTRAL PARK HEIGHTS,NORTHWESTERN,6,"(39.34347736, -76.6731883)"
2319 041 021116,2319,041,1627 N WARWICK AVE,02/11/2016,COPPIN HEIGHTS/ASH-CO-EAST,WESTERN,7,"(39.30714194, -76.65678381)"
0275 014 021116,0275,014,326 S FULTON AVE,02/11/2016,CARROLLTON RIDGE,SOUTHERN,9,"(39.28360186, -76.64517598)"
0009 010 021116,0009,010,1719 N FULTON AVE,02/11/2016,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30841609, -76.64601939)"
5843 008A 021216,5843,008A,4008 CHESMONT AVE,02/12/2016,Waltherson,Notheastern,2,"(39.33739393, -76.55564579)"
1116 076 021216,1116,076,1619 N SPRING ST,02/12/2016,OLIVER,EASTERN,12,"(39.30878918, -76.59885112)"
5165C002 021716,5165C,002,702 MCCABE AVE,02/17/2016,WOODBOURNE-MCCABE,NORTHERN,4,"(39.35251896, -76.60666502)"
7263 005 021916,7263,005,3924 PENNINGTON AVE,02/19/2016,CURTIS BAY,SOUTHERN,10,"(39.22934176, -76.58908213)"
3235 031 021916,3235,031,1637 GWYNNS FALLS PKWY,02/19/2016,PARKVIEW/WOODBROOK,WESTERN,7,"(39.3173626, -76.64903674)"
2132 003 021916,2132,003,2835 FREDERICK AVE,02/19/2016,GWYNNS FALLS,SOUTHWESTERN,10,"(39.27930231, -76.66393939)"
1484 013 021916,1484,013,1525 N PATTERSON PARK AVE,02/19/2016,BROADWAY EAST,EASTERN,13,"(39.30837787, -76.58547454)"
0376 022 021916,0376,022,515 MOSHER ST,02/19/2016,UPTON,CENTRAL,11,"(39.30284899, -76.63102249)"
0244 032 021916,0244,032,1712 W PRATT ST,02/19/2016,UNION SQUARE,SOUTHERN,9,"(39.28546356, -76.64439656)"
3240 007 022316,3240,007,1712 GWYNNS FALLS PKWY,02/23/2016,PARKVIEW/WOODBROOK,WESTERN,7,"(39.31731907, -76.65035558)"
2301 013 022316,2301,013,2119 WESTWOOD AVE,02/23/2016,EASTERWOOD,WESTERN,7,"(39.30844713, -76.65213562)"
1753 022 022316,1753,022,249 S BROADWAY ,02/23/2016,FELLS POINT,SOUTHEASTERN,1,"(39.287855, -76.59317926)"
1517 060 022316,1517,060,2027 E HOFFMAN ST,02/23/2016,BROADWAY EAST,EASTERN,13,"(39.30644214, -76.58930557)"
0248 025 022316,0248,025,113 S CALHOUN ST,02/23/2016,UNION SQUARE,SOUTHERN,9,"(39.2857925, -76.63912342)"
0147 063 022316,0147,063,306 N MONROE ST,02/23/2016,PENROSE/FAYETTE STREET OUTREACH,WESTERN,9,"(39.2922083, -76.64741207)"
7779 006 022416,7779,006,2522 WASHINGTON BLVD,02/24/2016,MORRELL PARK,SOUTHWESTERN,10,"(39.26653873, -76.65305597)"
5203A011 022416,5203A,011,721 E 43RD ST,02/24/2016,PEN LUCY,NORTHERN,4,"(39.34197941, -76.60513361)"
0702 011 022416,0702,011,2106 EAGLE ST,02/24/2016,CARROLLTON RIDGE,SOUTHWESTERN,9,"(39.28055172, -76.64937647)"
0271 100 022416,0271,100,309 S BENTALOU ST,02/24/2016,CARROLLTON RIDGE,SOUTHWESTERN,9,"(39.28378066, -76.65236783)"
4120 046 022416,4120,046,1606 MONTPELIER ST,02/24/2016,COLDSTREAM HOMESTEAD MONTEBELLO,NORTHEASTERN,14,"(39.32072679, -76.59638548)"
4605A022C 022516,4605A,022C,4909 EDGEMERE AVE,02/25/2016,CENTRAL PARK HEIGHTS,NORTHWESTERN,6,"(39.34485006, -76.67357989)"
7139 035 022616,7139,035,3745 SAINT VICTOR ST,02/26/2016,BROOKLYN,SOUTHERN,10,"(39.23256394, -76.59733655)"
7116 008 022616,7116,008,815 E JEFFREY ST,02/26/2016,BROOKLYN,SOUTHERN,10,"(39.2321213, -76.60038347)"
4165 027 022616,4165,027,1606 CLIFTVIEW AVE,02/26/2016,DARLEY PARK,EASTERN,14,"(39.31537926, -76.59541879)"
4164A042 022616,4164A,042,1683 CLIFTVIEW AVE,02/26/2016,DARLEY PARK,EASTERN,12,"(39.31509808, -76.59392986)"
3185 064 022616,3185,064,2842 BOARMAN AVE,02/26/2016,TOWANDA-GRANTLEY,NORTHWESTERN,6,"(39.3375676, -76.66922654)"
2230F002 022616,2230F,002,3 N ABINGTON AVE,02/26/2016,CARROLL-SOUTH HILTON,SOUTHWESTERN,9,"(39.28603725, -76.67092644)"
6330 024 022916,6330,024,400 OLDHAM ST,02/29/2016,GREEKTOWN,SOUTHEASTERN,1,"(39.28796643, -76.55610359)"
2230G049 022916,2230G,049,3208 W BALTIMORE ST,02/29/2016,CARROLL-SOUTH HILTON,SOUTHWESTERN,9,"(39.28606286, -76.67160634)"
0002 011 022916,0002,011,1820 N MONROE ST,02/29/2016,EASTERWOOD,WESTERN,7,"(39.30925698, -76.64839566)"
7183 010 030116,7183,010,5021 PENNINGTON AVE,03/01/2016,CURTIS BAY,SOUTHERN,10,"(39.2206412, -76.58776197)"
2442C007 030116,2442C,007,3013 BELMONT AVE,03/01/2016,ROSEMONT,SOUTHWESTERN,9,"(39.30317028, -76.66774831)"
2249A006 030116,2249A,006,152 S MONASTERY AVE,03/01/2016,ALLENDALE,SOUTHWESTERN,8,"(39.28464617, -76.68083369)"
1450 025 030116,1450,025,1849 N CHESTER ST,03/01/2016,BROADWAY EAST,EASTERN,12,"(39.31201383, -76.58841717)"
8190 008 030216,8190,008,5509 KENNISON AVE,03/02/2016,GROVE PARK,NORTHWESTERN,5,"(39.34233125, -76.6967522)"
1656 077 030216,1656,077,519 N ROSE ST,03/02/2016,MCELDERRY PARK,SOUTHEASTERN,13,"(39.29739144, -76.58131229)"
1642 089 030216,1642,089,617 N GLOVER ST,03/02/2016,MCELDERRY PARK,SOUTHEASTERN,13,"(39.29843415, -76.57995882)"
1642 011 030216,1642,011,2620 MCELDERRY ST,03/02/2016,MCELDERRY PARK,SOUTHEASTERN,13,"(39.29800665, -76.58021085)"
7095A126 030316,7095A,126,3920 8TH ST,03/03/2016,BROOKLYN,SOUTHERN,10,"(39.23195538, -76.60166991)"
5798 030A 030316,5798,030A,3310 RUECKERT AVE,03/03/2016,Waltherson,Notheastern,3,"(39.34618639, -76.56120915)"
1485 013 030316,1485,013,2425 E FEDERAL ST,03/03/2016,BROADWAY EAST,EASTERN,13,"(39.30866976, -76.58350952)"
0005 021 030316,0005,021,1831 N MOUNT ST,03/03/2016,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30956547, -76.64471506)"
8190 012 030416,8190,012,5517 KENNISON AVE,03/04/2016,GROVE PARK,NORTHWESTERN,5,"(39.34232403, -76.69759305)"
5953G013 030416,5953G,013,4813 FRANKFORD AVE,03/04/2016,Frankford,Notheastern,2,"(39.33164948, -76.5445667)"
4070A021 030416,4070A,021,2637 GREENMOUNT AVE,03/04/2016,BETTER WAVERLY,NORTHERN,14,"(39.32055262, -76.60919748)"
4022 022 030416,4022,022,2143 HOMEWOOD AVE,03/04/2016,EAST BALTIMORE MIDWAY,EASTERN,12,"(39.31438984, -76.60698976)"
3461 016 030416,3461,016,2408 LAKEVIEW AVE,03/04/2016,RESERVOIR HILL,CENTRAL,7,"(39.31499782, -76.63295883)"
2299E078 030416,2299E,078,3705 W SARATOGA ST,03/04/2016,ALLENDALE,SOUTHWESTERN,8,"(39.29049656, -76.67885174)"
0431 068 030416,0431,068,1119 MYRTLE AVE,03/04/2016,UPTON,CENTRAL,11,"(39.29769159, -76.6306347)"
0431 067 030416,0431,067,1121 MYRTLE AVE,03/04/2016,UPTON,CENTRAL,11,"(39.29771809, -76.63066715)"
0431 056 030416,0431,056,1143 MYRTLE AVE,03/04/2016,UPTON,CENTRAL,11,"(39.29800821, -76.63102319)"
0431 055 030416,0431,055,1145 MYRTLE AVE,03/04/2016,UPTON,CENTRAL,11,"(39.29803513, -76.63105582)"
3572 001A 030716,3572,001A,0  ,03/07/2016,WOODBERRY,NORTHERN,7,"(39.3339831, -76.64485367)"
2445 034 030716,2445,034,2928 RIGGS AVE,03/07/2016,FRANKLINTOWN ROAD,SOUTHWESTERN,9,"(39.30025395, -76.66692907)"
1500 011 030716,1500,011,2131 E OLIVER ST,03/07/2016,BROADWAY EAST,EASTERN,13,"(39.30757991, -76.58751523)"
1454 029 030716,1454,029,1816 N MILTON AVE,03/07/2016,BROADWAY EAST,EASTERN,13,"(39.31174375, -76.58335172)"
1126 056 030716,1126,056,1532 N BOND ST,03/07/2016,OLIVER,EASTERN,12,"(39.30815721, -76.59707552)"
0275 060 030716,0275,060,319 S MONROE ST,03/07/2016,CARROLLTON RIDGE,SOUTHERN,9,"(39.28383911, -76.64647246)"
0151 009 030716,0151,009,317 N GILMOR ST,03/07/2016,FRANKLIN SQUARE,WESTERN,9,"(39.29261888, -76.64231678)"
7056A018 030816,7056A,018,3438 6TH ST,03/08/2016,BROOKLYN,SOUTHERN,10,"(39.23953056, -76.6010089)"
0767 117 030816,0767,117,1329 SARGEANT ST,03/08/2016,WASHINGTON VILLAGE/PIGTOWN,SOUTHERN,10,"(39.28035426, -76.63645611)"
0125 012 030816,0125,012,522 N CAREY ST,03/08/2016,HARLEM PARK,WESTERN,9,"(39.29482152, -76.63877572)"
4139 026 030916,4139,026,2738 HARFORD ROAD,03/09/2016,Coldstream Homestead Montebello,Notheastern,14,"(39.32126573, -76.59106094)"
3813 046 031016,3813,046,336 E 21ST ST,03/10/2016,BARCLAY,EASTERN,12,"(39.3136377, -76.61153797)"
3176 028 031016,3176,028,2814 VIOLET AVE,03/10/2016,PARK CIRCLE,NORTHWESTERN,6,"(39.32986233, -76.66222642)"
2755 010 031016,2755,010,3809 BONNER ROAD,03/10/2016,CONCERNED CITIZENS OF FOREST PARK,NORTHWESTERN,6,"(39.32267983, -76.68239714)"
2542 017 031016,2542,017,212 S COLLINS AVE,03/10/2016,IRVINGTON,SOUTHWESTERN,8,"(39.28283004, -76.68371017)"
2402 057 031016,2402,057,1700 ASHBURTON ST,03/10/2016,COPPIN HEIGHTS/ASH-CO-EAST,WESTERN,7,"(39.30744314, -76.66243699)"
2402 023 031016,2402,023,2741 W NORTH AVE,03/10/2016,COPPIN HEIGHTS/ASH-CO-EAST,WESTERN,7,"(39.30894488, -76.66247273)"
4536A128 031116,4536A,128,5302 MAPLE AVE,03/11/2016,PIMLICO GOOD NEIGHBORS,NORTHWESTERN,5,"(39.35123971, -76.67777092)"
3061A026 031116,3061A,026,3313 ALTO ROAD,03/11/2016,HANLON-LONGWOOD,NORTHWESTERN,7,"(39.31714857, -76.67350752)"
2506A013 031116,2506A,013,715 MOUNT HOLLY ST,03/11/2016,EDGEWOOD,SOUTHWESTERN,8,"(39.29580061, -76.67963706)"
2418 063 031116,2418,063,1621 POPLAR GROVE ST,03/11/2016,NORTHWEST COMMUNITY ACTION,SOUTHWESTERN,7,"(39.30658799, -76.6653513)"
2406 021 031116,2406,021,2841 W NORTH AVE,03/11/2016,NORTHWEST COMMUNITY ACTION,SOUTHWESTERN,7,"(39.30884735, -76.66500262)"
2307A019 031116,2307A,019,2437 W NORTH AVE,03/11/2016,COPPIN HEIGHTS/ASH-CO-EAST,WESTERN,7,"(39.30918947, -76.65702099)"
1477 047 031116,1477,047,1516 RUTLAND AVE,03/11/2016,BROADWAY EAST,EASTERN,12,"(39.30822909, -76.59304661)"
0599 008 031116,0599,008,235 PARK AVE,03/11/2016,DOWNTOWN,CENTRAL,11,"(39.29280154, -76.6178644)"
0007 057 031116,0007,057,1734 APPLETON ST,03/11/2016,EASTERWOOD,WESTERN,7,"(39.30856758, -76.64921157)"
7419D026 031416,7419D,026,2103 SIDNEY AVE,03/14/2016,WESTPORT,SOUTHERN,10,"(39.26454148, -76.63176232)"
4544C017 031416,4544C,017,3613 HAYWARD AVE,03/14/2016,ARLINGTON,NORTHWESTERN,5,"(39.34770543, -76.68176963)"
2348 017 031416,2348,017,2332 EDMONDSON AVE,03/14/2016,ROSEMONT HOMEOWNERS/TENANTS,WESTERN,9,"(39.29506303, -76.65431193)"
0294 054 031416,0294,054,1707 N CAREY ST,03/14/2016,PENN NORTH,WESTERN,7,"(39.30907584, -76.6427263)"
0294 012 031416,0294,012,2422 1/2 PENNSYLVANIA AVE,03/14/2016,PENN NORTH,WESTERN,7,"(39.30963682, -76.64232212)"
3207 069 031516,3207,069,1905 HERBERT ST,03/15/2016,MONDAWMIN,WESTERN,7,"(39.3102319, -76.6486453)"
2733 011 031516,2733,011,4002 MAINE AVE,03/15/2016,CENTRAL FOREST PARK,NORTHWESTERN,6,"(39.32748673, -76.68610865)"
2475E036 031516,2475E,036,3036 HARLEM AVE,03/15/2016,FRANKLINTOWN ROAD,SOUTHWESTERN,9,"(39.29596426, -76.6679032)"
2475 026 031516,2475,026,3050 EDMONDSON AVE,03/15/2016,FRANKLINTOWN ROAD,SOUTHWESTERN,9,"(39.29456252, -76.66814195)"
2445 064 031516,2445,064,2907 WINCHESTER ST,03/15/2016,FRANKLINTOWN ROAD,SOUTHWESTERN,9,"(39.30108813, -76.66619769)"
1686 003 031516,1686,003,2031 ORLEANS ST,03/15/2016,CARE,Eastern,13,"(39.29518214, -76.5882701)"
1163 022 031516,1163,022,1212 N BOND ST,03/15/2016,OLIVER,EASTERN,12,"(39.30482475, -76.59687707)"
0244 074 031516,0244,074,1708 LEMMON ST,03/15/2016,UNION SQUARE,SOUTHERN,9,"(39.28584138, -76.64425453)"
0096 052 031516,0096,052,707 N MONROE ST,03/15/2016,HARLEM PARK,WESTERN,9,"(39.29682003, -76.64715186)"
